76301,Rozgarty-Kwiatowa n/ż
76401,ROZGARTY - STARA SZKOŁA
76501,Rozgarty-Leśna n/ż
76601,Rozgarty-Wróblowa n/ż
76701,Przysiek-Błotka n/ż
76801,Przysiek-Szkoła n/ż
76902,Przysiek n/ż
77003,Brzozówka nż.
77102,Brzozówka-wieś nż.
77201,Brzozówka-wieś nż.
77302,Brzozówka-Olszynowa nż.
77401,Brzozówka-Olszynowa nż.
77502,Szembekowo-Osiedlowa nż.
77601,Szembekowo-Osiedlowa nż.
77702,Szembekowo-OSP nż.
77801,Szembekowo-OSP nż.
77902,Szembekowo-skrz. nż.
78001,Szembekowo-skrz. nż.
78101,SZEMBEKOWO
78202,Dobrzejewice-staw nż.
78301,Dobrzejewice-staw nż.
78401,Brzozówka - sklep nż.
78502,Brzozówka - sklep nż.
78602,Złotoria II nż.
78701,Złotoria II nż.
